binario,tamanho,bandas,seed,tempo_media_s,iteracoes_media,erro_media,l3_request_rate,l3_miss_rate,memory_bandwidth_mbps,energy_core_j
cgSolver-dia,1024,7,42,1.339610e-04,24.0,1.790145e-11,0.004500,0.001100,74.68,17.768500
cgSolver-dia,1024,7,123,1.341810e-04,24.0,2.233162e-11,0.024400,0.007100,214.99,14.623300
cgSolver-dia,1024,27,42,1.984920e-04,22.0,1.117117e-11,0.015500,0.003000,77.60,18.902200
cgSolver-dia,1024,27,123,2.852250e-04,24.0,4.774405e-12,0.026700,0.005600,138.39,14.243400
cgSolver-dia,4096,7,42,5.189730e-04,26.0,1.425526e-11,0.008900,0.001200,109.97,14.927900
cgSolver-dia,4096,7,123,5.914980e-04,26.0,1.457588e-11,0.025400,0.005900,81.91,16.677900
cgSolver-dia,4096,27,42,9.048360e-04,25.0,1.842350e-12,0.020700,0.004300,140.65,18.890800
cgSolver-dia,4096,27,123,1.501195e-03,24.0,2.606573e-12,0.005800,0.001600,2756.18,34.683600
cgSolver-dia,16384,7,42,2.310056e-03,26.0,7.732071e-12,0.008400,0.000300,2000.02,0.034600
cgSolver-dia,16384,7,123,2.608908e-03,28.0,4.853587e-12,0.008200,0.000300,6932.49,0.041000
cgSolver-dia,16384,27,42,3.876398e-03,24.0,1.590745e-12,0.007200,0.000500,2353.47,0.120700
cgSolver-dia,16384,27,123,4.059381e-03,25.0,1.422938e-12,0.007500,0.000500,5192.13,0.103100
cgSolver-dia,65536,7,42,2.097918e-02,28.0,2.712078e-12,0.014100,0.000600,3548.07,0.217800
cgSolver-dia,65536,7,123,2.146059e-02,29.0,3.119943e-12,0.014300,0.000500,2178.98,0.227800
cgSolver-dia,65536,27,42,2.799639e-02,26.0,5.130170e-13,0.013800,0.001200,4874.97,0.470100
cgSolver-dia,65536,27,123,2.956679e-02,26.0,9.663674e-13,0.013500,0.000700,5618.74,0.423800
cgSolver-dia,262144,7,42,1.086893e-01,30.0,1.673908e-12,0.014100,0.001700,5321.28,1.025900
cgSolver-dia,262144,7,123,1.095818e-01,30.0,1.938789e-12,0.014600,0.002300,6244.36,1.050000
cgSolver-dia,262144,27,42,1.518445e-01,26.0,4.826992e-13,0.013200,0.003500,9334.93,1.875500
cgSolver-dia,262144,27,123,1.540545e-01,27.0,2.661690e-13,0.013500,0.003700,9248.86,2.049000
cgSolver-dia,1048576,7,42,5.305876e-01,31.0,9.887669e-13,0.014100,0.007100,12308.93,4.969500
cgSolver-dia,1048576,7,123,5.549771e-01,32.0,1.040108e-12,0.014500,0.007400,13363.38,5.017200
cgSolver-dia,1048576,27,42,6.789207e-01,27.0,1.491510e-13,0.013400,0.005500,12458.47,9.123800
cgSolver-dia,1048576,27,123,7.405297e-01,28.0,1.553037e-13,0.013700,0.005500,12526.97,9.272000
