binario,tamanho,bandas,seed,tempo_media_s,iteracoes_media,erro_media,l3_request_rate,l3_miss_rate,memory_bandwidth_mbps,energy_core_j
cgSolver,1024,7,42,2.435880e-04,24.0,3.700561e-11,0.000000,0.000000,248.37,15.947600
cgSolver,1024,7,123,2.314550e-04,24.0,1.908003e-11,0.008900,0.002000,74.14,26.657300
cgSolver,1024,27,42,5.504550e-04,22.0,8.079892e-12,0.002100,0.000500,855.48,22.446900
cgSolver,1024,27,123,6.281400e-04,24.0,7.998972e-12,0.008700,0.001300,683.51,23.178800
cgSolver,4096,7,42,1.173485e-03,26.0,1.765470e-11,0.081300,0.007700,450.58,24.392200
cgSolver,4096,7,123,7.749760e-04,25.0,1.478190e-11,0.009900,0.001200,149.81,14.795000
cgSolver,4096,27,42,2.183861e-03,23.0,3.792384e-12,0.001400,0.000100,835.12,0.027900
cgSolver,4096,27,123,2.050442e-03,24.0,4.457667e-12,0.001400,0.000100,910.21,0.027800
cgSolver,16384,7,42,3.555769e-03,28.0,7.952719e-12,0.002000,0.000100,2837.38,0.065600
cgSolver,16384,7,123,3.521154e-03,27.0,6.502380e-12,0.002000,0.000100,1237.81,0.070700
cgSolver,16384,27,42,8.095555e-03,23.0,2.776753e-12,0.001400,0.000100,2536.85,0.145200
cgSolver,16384,27,123,8.718064e-03,25.0,2.071025e-12,0.001400,0.000200,1477.92,0.125300
cgSolver,65536,7,42,2.409845e-02,29.0,4.141061e-12,0.002500,0.000100,2161.29,0.262300
cgSolver,65536,7,123,2.416143e-02,29.0,3.496212e-12,0.002500,0.000100,1022.38,0.271600
cgSolver,65536,27,42,4.336035e-02,25.0,6.765912e-13,0.001500,0.000100,1110.49,0.556600
cgSolver,65536,27,123,4.482807e-02,26.0,6.838221e-13,0.001600,0.000100,1530.62,0.568500
cgSolver,262144,7,42,1.132894e-01,31.0,1.192486e-12,0.002500,0.000400,1503.96,1.171200
cgSolver,262144,7,123,1.125518e-01,31.0,1.371873e-12,0.002500,0.000300,1930.59,1.156200
cgSolver,262144,27,42,2.018422e-01,26.0,3.832173e-13,0.001600,0.000900,6188.93,2.402300
cgSolver,262144,27,123,2.155938e-01,28.0,2.743991e-13,0.001600,0.000900,6811.74,2.550800
cgSolver,1048576,7,42,5.416531e-01,32.0,1.036778e-12,0.002500,0.001600,9107.84,5.117300
cgSolver,1048576,7,123,5.452912e-01,32.0,9.109214e-13,0.002500,0.001600,8360.29,5.111100
cgSolver,1048576,27,42,8.489545e-01,26.0,1.675455e-13,0.001500,0.001300,10451.97,9.993800
cgSolver,1048576,27,123,9.091059e-01,28.0,1.540133e-13,0.001600,0.001300,10893.23,10.541000
