binario,tamanho,bandas,seed,num_runs,tempo_media_s,tempo_stdev_s,iteracoes_media,erro_media
cgSolver,1024,7,42,30,2.144176e-04,3.053475e-05,24.0,3.700561e-11
cgSolver,1024,7,123,30,2.342093e-04,5.164408e-05,24.0,1.908003e-11
cgSolver,1024,27,42,30,5.965892e-04,1.107256e-04,22.0,8.079892e-12
cgSolver,1024,27,123,30,7.143384e-04,1.435716e-04,24.0,7.998972e-12
cgSolver,4096,7,42,30,9.596566e-04,1.809591e-04,26.0,1.765470e-11
cgSolver,4096,7,123,30,9.316568e-04,1.932775e-04,25.0,1.478190e-11
cgSolver,4096,27,42,30,2.115255e-03,2.379166e-04,23.0,3.792384e-12
cgSolver,4096,27,123,30,2.214123e-03,2.247788e-04,24.0,4.457667e-12
cgSolver,16384,7,42,30,3.680249e-03,1.648397e-04,28.0,7.952719e-12
cgSolver,16384,7,123,30,3.585106e-03,1.814455e-04,27.0,6.502380e-12
cgSolver,16384,27,42,30,8.164779e-03,1.280707e-04,23.0,2.776753e-12
cgSolver,16384,27,123,30,9.017946e-03,5.705285e-04,25.0,2.071025e-12
cgSolver,65536,7,42,30,2.485111e-02,1.227499e-03,29.0,4.141061e-12
cgSolver,65536,7,123,30,2.438647e-02,9.836405e-04,29.0,3.496212e-12
cgSolver,65536,27,42,30,4.356865e-02,3.156611e-04,25.0,6.765912e-13
cgSolver,65536,27,123,30,4.518331e-02,2.282317e-04,26.0,6.838221e-13
cgSolver,262144,7,42,30,1.168153e-01,8.991933e-03,31.0,1.192486e-12
cgSolver,262144,7,123,30,1.178261e-01,6.268148e-03,31.0,1.371873e-12
cgSolver,262144,27,42,30,2.062614e-01,6.668843e-03,26.0,3.832173e-13
cgSolver,262144,27,123,30,2.179111e-01,4.934055e-03,28.0,2.743991e-13
cgSolver,1048576,7,42,30,5.617480e-01,1.576911e-02,32.0,1.036778e-12
cgSolver,1048576,7,123,30,5.590334e-01,1.802759e-02,32.0,9.109214e-13
cgSolver,1048576,27,42,30,8.592767e-01,1.441625e-02,26.0,1.675455e-13
cgSolver,1048576,27,123,30,9.249054e-01,1.218861e-02,28.0,1.540133e-13
